Ester Farrell,880-70-7839,Colombia,633008,12/17/1978,Female,Married,4/30/2017,4/11/2014,Career change,Working,Business Development,5,Montenegro
Angie Niessen,620-44-2070,Albania,,8/6/1974,Female,Married,1/23/2004,10/15/2014,Career change,On Leave,Services,1,Karbunara e Vogël
Ginny Bateup,309-29-0682,Canada,V8J,4/17/2000,Female,Married,1/26/1980,8/13/1978,Retired,Working,Research and Development,3,Prince Rupert
Ursa Owtram,189-30-4924,Czech Republic,364 52,12/11/1990,Female,Single,9/21/2009,7/18/1994,Quit,Terminated,Marketing,8,Žlutice
Elnore Attreed,238-23-1551,Portugal,2615-266,12/16/1967,Female,Married,11/15/1979,11/8/2004,Fired with cause,Working,Research and Development,9,Arcena Pequena
Lark Jillett,313-15-6377,Indonesia,,7/15/1957,Female,Single,5/26/1999,1/13/2007,Quit,Terminated,Human Resources,5,Napu
Domingo Brownlea,502-61-6978,France,21030 CEDEX,4/2/1970,Male,Divorced,4/14/1987,10/28/2008,Career change,Working,Business Development,3,Dijon
Iggy Ratter,303-52-5585,China,,8/7/1982,Male,Married,7/17/1989,4/7/2019,Retired,Terminated,Research and Development,3,Zhangdu
Archibaldo Nudd,741-04-8081,Philippines,3117,1/25/1984,Male,Divorced,9/24/1997,3/11/2018,Career change,On Leave,Support,4,Paitan Norte
Chelsy Pretor,698-61-3944,Indonesia,,2/5/1978,Female,Divorced,4/25/1986,2/26/2001,Retired,Working,Sales,5,Kendung Timur
Brose Maddigan,382-60-9406,Poland,64-733,1/19/1990,Male,Divorced,11/26/1999,2/28/1981,Fired with cause,On Leave,Human Resources,8,Drawsko
Maddy Derkes,147-18-8840,Portugal,4960-130,3/6/1979,Male,Divorced,1/11/2011,1/14/2015,Quit,Terminated,Accounting,7,Passal
Dianna Ygou,755-06-3506,Venezuela,,12/8/1960,Female,Single,11/10/1978,2/10/2004,Quit,Terminated,Support,1,Maroa
Roselia Bygrove,821-20-6172,Georgia,,12/30/1962,Female,Divorced,9/13/1976,9/9/2004,Retired,On Leave,Product Management,4,Tqibuli
Guglielma Breckon,525-87-1225,Egypt,,1/15/1981,Female,Divorced,3/4/1977,7/28/1991,Career change,On Leave,Services,2,Al Manshāh
